STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,TMAX,TMIN,PRCP
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100522,261,128,8
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100523,217,117,71
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100524,228,106,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100525,156,117,361
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100526,189,72,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100527,233,100,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100528,278,106,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100529,300,167,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100530,328,106,183
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100531,183,9999,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100601,228,94,18
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100602,183,100,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100603,200,94,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100604,206,100,81
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100605,228,117,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100606,239,100,33
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100607,211,111,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100608,233,111,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100609,211,106,15
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100610,189,83,64
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100611,128,78,46
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100612,161,9999,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100613,183,117,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100614,217,94,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100615,217,133,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100616,228,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100617,256,161,58
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100618,228,111,15
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100619,156,106,10
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100620,233,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100621,267,161,81
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100622,239,144,28
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100623,261,150,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100624,261,150,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100625,272,150,318
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100626,267,167,38
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100627,278,161,51
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100628,239,106,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100629,211,89,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100630,228,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100701,267,167,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100702,317,211,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100703,317,211,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100704,311,178,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100705,267,144,38
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100706,256,122,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100707,244,133,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100708,250,133,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100709,261,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100710,289,156,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100711,311,144,10
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100712,228,111,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100713,233,150,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100714,267,150,135
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100715,228,122,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100716,256,150,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100717,283,150,28
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100718,244,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100719,267,144,89
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100720,261,133,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100721,256,122,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100722,250,156,117
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100723,206,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100724,233,139,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100725,267,144,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100726,267,172,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100727,306,183,51
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100728,256,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100729,256,139,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100730,256,156,28
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100731,283,156,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100801,294,178,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100802,278,167,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100803,294,167,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100804,278,156,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100805,256,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100806,261,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100807,272,150,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100808,306,172,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100809,328,183,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100810,339,194,191
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100811,267,167,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100812,328,183,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100813,267,167,94
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100814,261,144,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100815,217,128,5
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100816,211,111,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100817,217,78,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100818,283,89,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100819,194,94,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100820,250,117,41
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100821,278,156,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100822,283,172,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100823,328,211,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100824,272,111,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100825,222,61,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100826,233,89,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100827,272,144,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100828,300,156,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100829,250,128,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100830,278,139,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100831,250,83,157
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100901,183,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100902,233,106,15
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100903,183,89,30
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100904,178,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100905,217,78,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100906,183,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100907,161,78,168
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100908,156,50,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100909,178,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100910,139,89,218
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100911,178,94,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100912,194,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100913,200,44,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100914,161,61,25
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100915,161,78,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100916,150,50,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100917,183,44,38
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100918,106,-6,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100919,144,11,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100920,144,72,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100921,128,89,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100922,139,44,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100923,89,61,152
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100924,83,61,381
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100925,172,67,18
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100926,178,67,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100927,228,94,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100928,222,56,0
GHCND:USC00327027,PETERSBURG 2 N ND US,466.3,48.0355,-98.01,20100929,233,67,0
